Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2895476,SA_0000001445,COUNTRY,GHA,YEAR,AFR,Africa,,,2002,,,,,,,17.36,17.36,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4849633,SA_0000001445,COUNTRY,GTM,YEAR,AMR,Americas,SEX,SEX_MLE,2004,,,,,,,4.5,4.5,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
6097346,SA_0000001445,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,,,2002,,,,,,,5.23,5.23,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
8391641,SA_0000001445,COUNTRY,NZL,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2004,,,,,,,1.4,1.4,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
6855887,SA_0000001445,COUNTRY,ESP,YEAR,EUR,Europe,SEX,SEX_BTSX,2004,,,,,,,5.8,5.8,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4805257,SA_0000001445,COUNTRY,LSO,YEAR,AFR,Africa,,,2002,,,,,,,5.16,5.16,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
3344394,SA_0000001445,COUNTRY,LAO,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2004,,,,,,,23.9,23.9,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4994241,SA_0000001445,COUNTRY,KAZ,YEAR,EUR,Europe,SEX,SEX_BTSX,2004,,,,,,,7.5,7.5,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
8625045,SA_0000001445,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,,,2002,,,,,,,7.85,7.85,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
3186408,SA_0000001445,COUNTRY,LBR,YEAR,AFR,Africa,SEX,SEX_BTSX,2004,,,,,,,12.1,12.1,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4432887,SA_0000001445,COUNTRY,DMA,YEAR,AMR,Americas,SEX,SEX_FMLE,2004,,,,,,,9.9,9.9,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
61853,SA_0000001445,COUNTRY,GNQ,YEAR,AFR,Africa,SEX,SEX_MLE,2004,,,,,,,47.8,47.8,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
7759559,SA_0000001445,COUNTRY,MEX,YEAR,AMR,Americas,,,2002,,,,,,,7.07,7.07,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
7323403,SA_0000001445,COUNTRY,LKA,YEAR,SEAR,South-East Asia,SEX,SEX_MLE,2004,,,,,,,1.6,1.6,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
6160617,SA_0000001445,COUNTRY,GTM,YEAR,AMR,Americas,,,2002,,,,,,,10.53,10.53,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9168587,SA_0000001445,COUNTRY,NIC,YEAR,AMR,Americas,,,2002,,,,,,,1.54,1.54,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
6097477,SA_0000001445,COUNTRY,AND,YEAR,EUR,Europe,,,2002,,,,,,,5.82,5.82,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1339577,SA_0000001445,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2004,,,,,,,1.7,1.7,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
3939333,SA_0000001445,COUNTRY,HTI,YEAR,AMR,Americas,SEX,SEX_MLE,2004,,,,,,,18.1,18.1,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9574327,SA_0000001445,COUNTRY,GRC,YEAR,EUR,Europe,,,2002,,,,,,,9.35,9.35,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
